"","(Intercept)","aspect","dforcore","dfresh","dmarine","elev","pgra","ptcc","pwet","road","slope","df","logLik","AICc","delta","weight"
"522",-4.88068939072195,-0.358393164918703,NA,NA,0.429495511314123,NA,NA,NA,NA,NA,-0.0837007249003816,4,-140.445679561875,288.90662047438,20.0263465402813,1.70728140898071e-06
"475",-5.15971689209236,NA,0.25977914316148,NA,0.391707223312551,-0.162308242320215,NA,0.659360423524339,-0.430429699273322,0.414481077045515,NA,7,-137.434773218703,288.912327186069,20.0320532519706,1.70241687102323e-06
"876",-5.1179080798583,-0.33024927743736,0.241742587904137,NA,0.330430401252034,NA,-0.185161796465884,0.460514486167778,NA,0.434345480821657,-0.0587077403860385,8,-136.43046005969,288.915944956981,20.0356710228824,1.6993401774375e-06
"508",-5.20152362916966,-0.295491956948877,0.253722521152635,NA,0.350760250270347,-0.157822722554974,-0.180181814550469,0.58600836946274,-0.423412397833123,0.418333704746798,NA,9,-135.424831703879,288.918470747208,20.0381968131096,1.69719544360302e-06
"868",-5.00633838797522,-0.328972790823287,0.159325719343265,NA,NA,NA,-0.299059080998793,0.579233934311309,NA,0.478297866748493,-0.0422240451729703,7,-137.439016199299,288.920813147262,20.0405392131634,1.69520885182907e-06
"380",-5.11079807470074,-0.30226186309396,0.237898970218859,NA,0.331989667899174,-0.0472336306333295,-0.184055739384277,0.483448780863309,NA,0.43367912540026,NA,8,-136.435792825456,288.926610488512,20.0463365544138,1.69030211466978e-06
"372",-5.00285970888146,-0.308788815672267,0.157590078898826,NA,NA,-0.0236437261411094,-0.299784066527788,0.591334613015853,NA,0.478546022429573,NA,7,-137.448994885369,288.940770519401,20.0604965853028,1.67837701435296e-06
"835",-4.93781562677898,NA,0.139887188264535,NA,NA,NA,NA,0.669898032137985,NA,0.502013170035059,0.155415839900646,5,-139.467220757749,288.957342278857,20.0770683447585,1.66452764063308e-06
"363",-5.07934647500072,NA,0.2505046073133,NA,0.342674250162676,NA,-0.164813449117678,0.510177845874768,NA,0.431528583688561,NA,6,-138.464128718065,288.960330746554,20.0800568124559,1.66204230438956e-06
"865",-4.91379921645759,NA,NA,NA,NA,NA,-0.246318865975575,0.559885820941611,NA,0.494782405745232,0.163630309520103,5,-139.483413461077,288.989727685512,20.1094537514135,1.63779148785346e-06
"780",-5.00645349034586,-0.361633912945344,0.134340306994972,NA,0.55203968126192,NA,NA,NA,NA,0.295756644233507,-0.0559127672047533,6,-138.483350641702,288.998774593827,20.1185006597286,1.63039974384998e-06
"26",-4.8749883905095,-0.31909701034895,NA,NA,0.432655794521158,-0.0193951786921559,NA,NA,NA,NA,NA,4,-140.506241585449,289.027744521527,20.1474705874283,1.60695368013382e-06
"988",-5.18951401088524,-0.325746755062659,0.248067068394214,NA,0.377930740540629,-0.166677504718327,NA,0.614464922705471,-0.424201082040454,0.416759007021634,-0.069596431897572,9,-135.492614893456,289.054037126361,20.1737631922628,1.58596643567518e-06
"500",-5.08868655705768,-0.305052323154816,0.169805326448869,NA,NA,-0.106940509105627,-0.295541218738845,0.688733104780331,-0.410641265423295,0.468649092396174,NA,8,-136.505131120336,289.065287078273,20.1850131441743,1.57707045590007e-06
"860",-5.09914723331932,-0.330371019563635,0.23348789528002,NA,0.358764612852893,-0.0546252643928484,NA,0.513039779039553,NA,0.432800051874249,-0.0650366928283399,8,-136.514026677426,289.083078192452,20.2028042583534,1.56310374854641e-06
"347",-5.06180190003218,NA,0.242832573355527,NA,0.367192758117197,-0.0513871057301014,NA,0.557323149499489,NA,0.430189766954262,NA,6,-138.52720541082,289.086484132064,20.2062101979656,1.56044409535618e-06
"355",-4.96393087332439,NA,0.166611180662355,NA,NA,NA,-0.283775672337227,0.63499317409507,NA,0.47790835004968,NA,5,-139.543072682013,289.109046127384,20.2287721932857,1.54293964861471e-06
"963",-5.02708451294509,NA,0.154899551427242,NA,NA,NA,NA,0.717251416326525,-0.375332362844811,0.500807866389372,0.156877990766733,6,-138.587852335257,289.207777980938,20.3275040468395,1.46862051176637e-06
"154",-4.94170926368629,-0.320322107836311,NA,NA,0.480206028937255,-0.0872728322388538,NA,NA,-0.373114150045773,NA,NA,5,-139.597762975252,289.218426713862,20.3381527797634,1.46082181794376e-06
"290",-4.81233156933133,-0.368303746929576,NA,NA,NA,NA,-0.575820843803377,NA,NA,0.286560117651986,NA,4,-140.601928949638,289.219119249905,20.3388453158063,1.46031606963043e-06
"491",-5.16834621481544,NA,0.267792017869762,NA,0.346343475196802,NA,-0.166292262933934,0.555499676267355,-0.3643860925204,0.428462905759728,NA,7,-137.602893239754,289.24856722817,20.3682932940716,1.43897191286608e-06
"393",-4.9442837571753,NA,NA,NA,0.534215503373853,NA,NA,NA,-0.27538473306598,0.266783330882179,NA,4,-140.62088615758,289.25703366579,20.3767597316911,1.43289330501387e-06
"794",-4.95610268617226,-0.354502042779747,NA,NA,0.45478462084273,0.0857065570797916,NA,NA,NA,0.334311732486242,-0.0414852436624556,6,-138.613322657072,289.258718624567,20.3784446904683,1.43168663030897e-06
"996",-5.09188881178953,-0.324572694781165,0.173354028644832,NA,NA,NA,-0.292583307365381,0.626215209630855,-0.369243804906677,0.476740141817309,-0.0391363537692864,8,-136.610919302843,289.276863443286,20.3965895091873,1.41875652541478e-06
"428",-5.08827428286859,-0.335355162121306,0.16306891170707,NA,0.502526457160348,NA,-0.321832551775932,NA,-0.279130909022963,0.274029967538091,NA,7,-137.621539787507,289.285860323677,20.4055863895784,1.41238866748544e-06
"650",-4.94474894841293,-0.353965759582222,NA,NA,0.44449418821112,NA,NA,NA,-0.345276149511634,NA,-0.0776734959499119,5,-139.634959466822,289.292819697004,20.4125457629052,1.40748253832216e-06
"76",-5.00239877103668,-0.301222159730041,0.24988564891499,NA,0.428043009691841,NA,NA,0.202630038745877,NA,NA,NA,5,-139.656061974456,289.33502471227,20.4547507781718,1.37809232160246e-06
"777",-4.90206880643041,NA,NA,NA,0.504114797625423,NA,NA,NA,NA,0.311853396701579,0.177338173209332,4,-140.667008052312,289.349277455253,20.4690035211545,1.36830643411893e-06
"1004",-5.19939762369602,-0.323089099150624,0.256351944303333,NA,0.327906325030488,NA,-0.186421227524502,0.506096062897642,-0.353867006846378,0.432684594348539,-0.0550460062444157,9,-135.642315099484,289.353437538418,20.4731636043199,1.36546325782564e-06
"194",-4.85874756568913,-0.311495619698889,NA,NA,NA,NA,NA,0.342225405795096,-0.404957489790973,NA,NA,4,-140.671292523249,289.357846397127,20.477572463028,1.36245650584197e-06
"204",-5.08309703935861,-0.29377538263909,0.263055804232894,NA,0.428300603443637,NA,NA,0.244231738475802,-0.388019173355948,NA,NA,6,-138.668649930583,289.36937317159,20.4890992374916,1.3546267261118e-06
"993",-4.9938945698998,NA,NA,NA,NA,NA,-0.234324791053884,0.603910249375003,-0.359446112049328,0.494257005308197,0.164220275261936,6,-138.670805762822,289.373684836069,20.4934109019702,1.35170952377276e-06
"483",-5.05223673732921,NA,0.181818076181034,NA,NA,NA,-0.27835110312589,0.684449516257262,-0.372074558546896,0.476024099109473,NA,6,-138.67638281146,289.384838933344,20.5045649992452,1.34419195641941e-06
"44",-4.99469522538708,-0.320395227612512,0.221234591895498,NA,0.45530227723484,NA,-0.319157171161196,NA,NA,NA,NA,5,-139.682766751636,289.388434266631,20.5081603325321,1.34177771802507e-06
"66",-4.77971177125845,-0.313557085225277,NA,NA,NA,NA,NA,0.30843685373321,NA,NA,NA,3,-141.695721764721,289.40059684752,20.5203229134218,1.33364273866614e-06
"849",-4.88621291635903,NA,NA,NA,NA,-0.0173804832799759,NA,0.620846003834132,NA,0.500811675920209,0.159802560256609,5,-139.705518635576,289.43393803451,20.5536641004117,1.31159441265852e-06
"9",-4.83230294105469,NA,NA,NA,0.460255790822961,NA,NA,NA,NA,NA,NA,2,-142.729254436734,289.463083787689,20.5828098535907,1.29261930590061e-06
"882",-4.94370295738397,-0.330827071972797,NA,NA,NA,-0.0302465793362233,-0.258310348365065,0.539202440876631,NA,0.478929661244689,-0.0406423415112438,7,-137.738299522057,289.519379792777,20.6391058586786,1.25674196098818e-06
"852",-4.9673152811119,-0.327263014645411,0.137856966879715,NA,NA,-0.0266526797144417,NA,0.652090645933635,NA,0.487065110086381,-0.0459688005499504,7,-137.748523643263,289.53982803519,20.6595541010915,1.24395834085328e-06
"977",-4.96847174094565,NA,NA,NA,NA,-0.0990599245394634,NA,0.713788857657065,-0.398740275575891,0.492850535105046,0.156009750524449,6,-138.776238200381,289.584549711186,20.7042757770874,1.21645107877539e-06
"873",-4.97749166797175,NA,NA,NA,0.264262994090942,NA,-0.13860404385036,0.442831484353891,NA,0.457966785663078,0.153955291328731,6,-138.788024041479,289.608121393383,20.727847459284,1.20219833492653e-06
"980",-5.05259177544943,-0.324561115452432,0.14824686267003,NA,NA,-0.10859031231935,NA,0.746280432066939,-0.411603090372287,0.476841243586018,-0.0471949662449733,8,-136.793685105873,289.642395049345,20.7621211152469,1.18177199012265e-06
"339",-4.92529229814243,NA,0.146699770701306,NA,NA,-0.0300110642570697,NA,0.703482096140702,NA,0.485298697440934,NA,5,-139.818588321226,289.66007740581,20.7798034717118,1.17136978496131e-06
"467",-5.01440929275996,NA,0.15882385402066,NA,NA,-0.107946225421595,NA,0.799930856627449,-0.410345278458368,0.476922308010646,NA,6,-138.82973809761,289.691549505644,20.8112755715458,1.15308132301475e-06
"857",-4.96516423351385,NA,NA,NA,0.287853460496454,-0.0412576418176342,NA,0.481999178398563,NA,0.455467176538978,0.148856461574868,6,-138.837341946098,289.706757202619,20.8264832685209,1.14434671773345e-06
"1010",-5.02338863774955,-0.329004480773095,NA,NA,NA,-0.114663670093837,-0.248768927439582,0.633649418498955,-0.400288001408172,0.469827222879184,-0.0435581838320102,8,-136.834637626709,289.724300091018,20.8440261569194,1.1343530379312e-06
"172",-5.06376972470353,-0.317041211990818,0.223562672159733,NA,0.473743803441543,NA,-0.327907824629217,NA,-0.350495841661971,NA,NA,6,-138.847202676783,289.72647866399,20.8462047298916,1.1331180752327e-06
"137",-4.90296650476894,NA,NA,NA,0.483384579222901,NA,NA,NA,-0.349796724280929,NA,NA,3,-141.871401769051,289.751956856179,20.8716829220804,1.11877472978874e-06
"985",-5.0515690136612,NA,NA,NA,0.303849975879222,-0.148013350891124,NA,0.580594097116622,-0.40844824331329,0.442844778258963,0.141469848458291,7,-137.857035117071,289.756850982805,20.8765770487068,1.11604036413913e-06
"369",-4.90011889264851,NA,NA,NA,NA,-0.0353024609123062,-0.243621164408587,0.598830493711762,NA,0.478339289042709,NA,5,-139.868031198144,289.758963159646,20.8786892255474,1.1148623489876e-06
"297",-4.90774619630592,NA,NA,NA,0.463029206851913,NA,-0.254088031180787,NA,NA,0.294251789236533,NA,4,-140.887678879475,289.790619109579,20.9103451754801,1.09735525207796e-06
"267",-4.95402979051233,NA,0.14145482788644,NA,0.586050967315033,NA,NA,NA,NA,0.273756121886354,NA,4,-140.895534130387,289.806329611404,20.9260556773055,1.08876901889163e-06
"218",-4.97513136038867,-0.301935477825355,NA,NA,0.380032018375371,-0.218914804245634,NA,0.297573479793918,-0.464821935088178,NA,NA,6,-138.895308732103,289.82269077463,20.9424168405317,1.07989858718879e-06
"34",-4.76295957616365,-0.348251444623395,NA,NA,NA,NA,-0.516502024518813,NA,NA,NA,NA,3,-141.928584022288,289.866321362654,20.986047428555,1.05659538923624e-06
"938",-5.01445061681904,-0.360039011572106,NA,NA,0.43494965585452,NA,-0.27786593197388,NA,-0.273769320329277,0.294977860891116,-0.0437037653390582,7,-137.917819934835,289.878420618334,20.9981466842349,1.05022267606117e-06
"497",-4.9838422765515,NA,NA,NA,NA,-0.11572263278176,-0.23771399627749,0.694905604993576,-0.398504159756105,0.47136592112344,NA,6,-138.931431691327,289.894936693078,21.0146627589792,1.04158560964564e-06
"442",-5.01393613304455,-0.337787402272464,NA,NA,0.421948854045332,0.0285442227493354,-0.276298016435768,NA,-0.264793258344717,0.305494454883397,NA,7,-137.92680730767,289.896395364004,21.0161214299054,1.04082622128077e-06
"524",-4.96816807247079,-0.360579765811207,0.195105604707483,NA,0.521222522087251,NA,NA,NA,NA,NA,-0.0911844634274094,5,-139.992903948647,290.008708660653,21.128434726554,9.83987773772442e-07
"281",-4.90366611248205,NA,NA,NA,0.480005632120032,0.10444448531267,NA,NA,NA,0.315599451025277,NA,4,-141.002468307748,290.020197966126,21.1399240320274,9.78351310976429e-07
"908",-5.05788472155196,-0.357502419258437,0.138304676520144,NA,0.565514336221093,NA,NA,NA,-0.271896940315214,0.27236606285807,-0.0527776993808699,7,-137.991270526095,290.025321800852,21.1450478667538,9.75848063691018e-07
"412",-5.05873470258416,-0.330383425361609,0.140173271052105,NA,0.544492721122437,0.0484270090491687,NA,NA,-0.255872302478448,0.28861513214433,NA,7,-137.993032383128,290.02884551492,21.1485715808211,9.7413027261174e-07
