,(Intercept),aspect,bldg,dforcore,dfresh,dmarine,elev,pfor,pgra,ptcc,pwet,road,slope,df,logLik,AICc,delta,weight
2502,-5.933092535,0.4356,,0.5184,,,,0.2289,-5.7509,-0.6741,,,0.1566,8,-112.4187022,240.9055863,11.53290327,3.90E-05
1182,-5.918987363,0.4679,,0.5187,0.1457,-0.1645,,,-5.6007,,,0.3584,,8,-112.4219736,240.9121291,11.53944611,3.88E-05
2745,-6.029489562,,,,-0.0378,-0.2716,0.6914,,-5.7942,,0.2146,,0.0494,8,-112.4231248,240.9144315,11.54174852,3.88E-05
1842,-4.860269505,0.4616,,,,-0.0260,0.6484,,,-0.3932,0.3262,0.3072,,8,-112.424691,240.9175638,11.54488081,3.87E-05
3481,-6.325968627,,,,0.2648,-0.0494,,,-6.5762,-0.5331,,0.2752,0.0981,8,-112.4254352,240.9190523,11.54636932,3.87E-05
1552,-4.903408294,0.4940,0.8400,-0.1440,0.1352,,,,,,0.2478,0.3542,,8,-112.4306195,240.9294208,11.55673786,3.85E-05
3175,-4.971543787,,0.9657,-1.0429,,,0.5488,0.1851,,,,0.3088,0.0866,8,-112.4326131,240.9334081,11.56072508,3.84E-05
1804,-4.860005091,0.4948,0.8376,,0.1298,,,,,-0.0081,0.2490,0.3537,,8,-112.4327189,240.9336197,11.56093671,3.84E-05
2741,-6.006118646,,,0.1004,,-0.2580,0.6648,,-5.8413,,0.2138,,0.0503,8,-112.4369556,240.9420929,11.56940996,3.83E-05
3469,-6.314606963,,,-0.0489,0.2757,,,,-6.5184,-0.5473,,0.2708,0.0978,8,-112.4393723,240.9469264,11.5742434,3.82E-05
3127,-5.073025499,,0.8320,-1.1638,,-0.1509,0.6284,,,,,0.2948,0.0967,8,-112.4411383,240.9504585,11.5777755,3.81E-05
1352,-4.863459251,0.4937,0.9542,-0.2641,,,,0.5291,,-0.2973,,0.3862,,8,-112.4418449,240.9518717,11.57918874,3.81E-05
701,-5.983552017,,,0.1700,-0.0424,-0.2713,0.6879,,-5.8270,,0.2198,,,8,-112.4460876,240.960357,11.58767398,3.79E-05
1242,-6.054059634,0.4663,,,0.1630,-0.1490,,-0.0230,-5.4804,,,0.3569,,8,-112.4483223,240.9648265,11.59214351,3.78E-05
966,-5.934008497,0.4526,,0.6886,,,,0.1804,-5.8127,-0.6271,0.1272,,,8,-112.468416,241.0050138,11.63233081,3.71E-05
3282,-6.001855682,0.4556,,,,-0.2020,,0.0146,-5.2248,,,0.3706,0.1606,8,-112.4717421,241.0116659,11.63898295,3.70E-05
1746,-6.019415473,0.4711,,,,-0.1387,,-0.0372,-5.1540,,0.1504,0.3582,,8,-112.4894772,241.0471362,11.67445319,3.63E-05
3131,-4.718589193,,0.8381,,-0.1058,-0.1988,0.6482,,,,,0.2960,0.0934,8,-112.4943008,241.0567835,11.6841005,3.61E-05
1087,-5.009153508,,0.8327,-0.9341,-0.0737,-0.1901,0.6751,,,,,0.2946,,8,-112.4956485,241.0594789,11.68679592,3.61E-05
978,-6.162834031,0.4502,,,,-0.0600,,0.2107,-5.8027,-0.6447,0.1063,,,8,-112.5009009,241.0699836,11.69730064,3.59E-05
1734,-5.680343849,0.4717,,0.9192,,,,-0.0799,-5.0928,,0.1847,0.3372,,8,-112.5049455,241.0780728,11.70538984,3.58E-05
1135,-4.975114211,,0.9665,-1.0630,0.0027,,0.5449,0.1950,,,,0.3090,,8,-112.5123434,241.0928685,11.72018555,3.55E-05
1335,-5.137578561,,0.7871,-1.3329,,-0.1341,0.6411,,,-0.0902,,0.2879,,8,-112.512958,241.0940978,11.72141485,3.55E-05
3367,-5.102174069,,0.7915,-1.3090,,,0.6240,,,-0.1373,,0.2759,0.0973,8,-112.5270542,241.1222903,11.74960731,3.50E-05
1437,-6.309488133,,,0.0038,0.2593,-0.0484,,,-6.5353,-0.5209,,0.2756,,8,-112.527096,241.1223739,11.7496909,3.50E-05
1116,-4.764714538,0.4925,1.0021,,0.0691,-0.0968,,0.3926,,,,0.3927,,8,-112.5275928,241.1233675,11.7506845,3.50E-05
2297,-6.08558856,,,,-0.0087,-0.2715,0.6818,-0.2423,-6.0854,,,,0.0955,8,-112.5306697,241.1295213,11.75683829,3.48E-05
2293,-6.088630286,,,-0.0028,,-0.2677,0.6763,-0.2434,-6.0971,,,,0.0958,8,-112.5313918,241.1309654,11.75828237,3.48E-05
3245,-6.007926417,,,-0.2808,0.0724,,0.4809,,-5.5862,,,0.3016,0.0745,8,-112.5478194,241.1638207,11.79113768,3.43E-05
3179,-4.642284915,,0.9647,,-0.0286,,0.5063,0.1871,,,,0.3114,0.0864,8,-112.552939,241.1740598,11.80137682,3.41E-05
2001,-6.243962832,,,,,-0.1161,,0.3362,-6.1378,-0.6547,0.0934,0.3271,,8,-112.5603169,241.1888156,11.81613263,3.38E-05
1230,-5.871086404,0.4635,,0.3163,0.1806,,,-0.0525,-5.3292,,,0.3386,,8,-112.5649228,241.1980275,11.82534452,3.37E-05
3682,-4.805050204,0.4474,,,,,0.6758,-0.3107,,,0.3499,0.2857,0.1470,8,-112.5735021,241.215186,11.842503,3.34E-05
2454,-5.873669712,0.4364,,0.7337,,-0.0996,,,-5.6645,-0.4913,,,0.1674,8,-112.5745741,241.21733,11.84464706,3.33E-05
1104,-4.817855392,0.4891,0.9973,-0.2537,0.0984,,,0.3601,,,,0.3808,,8,-112.5753636,241.218909,11.84622599,3.33E-05
