"","(Intercept)","aspect","dforcore","dfresh","dmarine","elev","pgra","ptcc","pwet","road","slope","df","logLik","AICc","delta","weight"
"991",-5.63378984488473,NA,0.301218898996336,-1.4465751605033,0.286914051554406,0.0192287896727643,NA,0.705117141878507,-0.480876140179903,0.39797045527259,0.0610596487697815,10,-128.512753670368,277.109637359856,6.21865598751793,0.0016735272228488
"373",-5.37404476074452,NA,NA,-1.44386305646867,NA,0.156940749320173,0.0530417157408628,0.658390090212743,NA,0.449927630450757,NA,7,-131.539226052172,277.121232853008,6.23025148066989,0.00166385260870333
"30",-5.33958342915598,-0.293916044138066,NA,-1.41396925418433,0.354971272081956,0.201833131388255,NA,NA,NA,NA,NA,6,-132.552976936926,277.138027184276,6.24704581193805,0.00164993946001837
"654",-5.38327938410302,-0.37378016759014,NA,-1.35161937164777,0.46064824659477,NA,NA,NA,-0.428116058530981,NA,-0.148127496968732,7,-131.555746734894,277.154274218452,6.26329284611393,0.00163659044251683
"158",-5.39308540725541,-0.298380726537112,NA,-1.41043376503965,0.386987999486453,0.128092188518215,NA,NA,-0.389715694071596,NA,NA,7,-131.581157217492,277.205095183646,6.31411381130806,0.0015955278096801
"32",-5.47013248931613,-0.290684831764221,0.265122879261295,-1.48724547700487,0.443727418814173,0.238106783039933,NA,NA,NA,NA,NA,7,-131.596208701277,277.235198151216,6.34421677887821,0.00157169257651879
"798",-5.4338284123518,-0.348738282221261,NA,-1.42862360427931,0.382947128293468,0.313458700315616,NA,NA,NA,0.339356031487596,-0.0884253734885733,8,-130.596258991478,277.247542820556,6.35656144821769,0.00156202144138391
"238",-5.43022788364234,-0.276432662376842,NA,-1.45778708196596,0.258382345152164,NA,0.133738555462892,0.380674151416868,-0.473973316926771,NA,NA,8,-130.59919582165,277.2534164809,6.36243510856201,0.00155744077929095
"1005",-5.49298545937242,NA,NA,-1.40298535057059,0.237028483773573,NA,0.156205842319912,0.668040747120397,-0.455416898264268,0.425469180942033,0.0753502059836502,9,-129.601292460957,277.271392261363,6.38041088902497,0.00154350539120466
"886",-5.4180293318318,-0.335892338667024,NA,-1.4432569641016,NA,0.15874039642645,0.0389426220606801,0.607282412668425,NA,0.448968419313402,-0.0999544833576363,9,-129.605538853939,277.279885047328,6.38890367498993,0.00153696495719757
"752",-5.84700956269262,-0.366858266145064,0.476098117037415,-1.63864695479213,0.465707584823621,NA,0.189082822610518,0.791128033092079,-0.507746422300397,NA,-0.167222588287968,10,-128.598332731806,277.280795482733,6.3898141103947,0.00153626546276432
"1024",-5.67728088685575,-0.342277996009594,0.310038358238809,-1.51211179721599,0.295936642649576,-0.0108386906995564,0.175877016452859,0.71762041186216,-0.501502179813403,0.384377826414196,-0.154483913902895,12,-126.583130396957,277.285663778988,6.39468240664979,0.00153253051261982
"222",-5.4319031159236,-0.278077961846528,NA,-1.40929033433028,0.252572210454047,-0.0548408177630785,NA,0.399219052758229,-0.495737604530605,NA,NA,8,-130.618752598376,277.292530034352,6.40154866201385,0.00152727816084936
"910",-5.42486190249092,-0.374336030986731,NA,-1.31126237614847,0.514621572474124,NA,NA,NA,-0.383529347504281,0.24625199894685,-0.121458943584628,8,-130.619782462645,277.29458976289,6.40360839055222,0.00152570608129563
"160",-5.53110291754494,-0.292980454594593,0.265033439822627,-1.49266453308876,0.480547126807084,0.16504545070156,NA,NA,-0.388153472191948,NA,NA,8,-130.630880419964,277.316785677528,6.4258043051903,0.00150886747024385
"869",-5.32751124300018,NA,NA,-1.32945735416146,NA,NA,0.0362607532692348,0.741381640970188,NA,0.446441734196688,0.0990309212481741,7,-131.661407067548,277.365594883759,6.47461351142107,0.00147248985459284
"855",-5.46728881315017,NA,0.224812787523951,-1.47612882243218,NA,0.177982786432422,NA,0.703570131505405,NA,0.448221925397246,0.102892438268919,8,-130.659805451643,277.374635740887,6.48365436854903,0.00146584859138104
"782",-5.33104321909058,-0.370536142059532,NA,-1.23742721218084,0.50532343750544,NA,NA,NA,NA,0.272751265146767,-0.11467854184834,7,-131.670067048292,277.382914845246,6.49193347290833,0.00145979317664925
"318",-5.42902935362512,-0.306109076219931,NA,-1.41908055425555,0.375168485479194,0.31959672321046,-0.00925990544182122,NA,NA,0.347234690494471,NA,8,-130.665978788544,277.386982414689,6.49600104235111,0.0014568272886014
"989",-5.50830001005309,NA,NA,-1.3919094839526,0.21760072503996,0.0200820927123965,NA,0.641003455732301,-0.447216894622509,0.428992847667191,0.0796575476486188,9,-129.660841095777,277.390489531003,6.49950815866453,0.00145427489576524
"285",-5.39812760499473,NA,NA,-1.44011913738111,0.417612394062677,0.330441281066149,NA,NA,NA,0.329386687452013,NA,6,-132.690071206605,277.412215723633,6.52123435129482,0.00143856246484332
"656",-5.50917937563219,-0.374273047120496,0.249802425692709,-1.40808236095304,0.571343049472214,NA,NA,NA,-0.437044557570861,NA,-0.160528829005321,8,-130.683147111014,277.421319059629,6.53033768729108,0.00143202948536461
"736",-5.82794663851727,-0.368243430757459,0.459063617295136,-1.58165491245785,0.438007937585971,-0.037235272416492,NA,0.759570799876965,-0.521881086813925,NA,-0.17158579392542,10,-128.674156491045,277.432443001211,6.54146162887309,0.0014240866884735
"509",-5.49800594864949,NA,NA,-1.42340107826471,0.243239210731796,0.00571191711269285,0.162924930365542,0.672867634022601,-0.455223954435317,0.417202571060697,NA,9,-129.684145066985,277.437097473419,6.54611610108122,0.00142077635597349
