"","(Intercept)","aspect","bldg","dforcore","dfresh","dmarine","elev","pfor","pgra","ptcc","pwet","road","slope","df","logLik","AICc","delta","weight"
"3813",0,NA,NA,-0.0825501725123772,NA,NA,5.66336955729363,-3.1207245349842,-58.7543504081773,NA,3.7424803323788,2.32872765780344,0.613641856484915,9,-111.066396486046,240.218060617758,10.8453776379106,5.4960164409144e-05
"2082",0,4.46236850192515,NA,NA,NA,NA,3.50266943368651,NA,NA,NA,NA,NA,1.47997357649004,5,-115.095254259999,240.218877314324,10.8461943344765,5.4937726102011e-05
"1599",0,NA,5.21952441190773,-0.946619110030856,-0.562365425516338,-0.867304255042108,5.87045282515442,NA,NA,NA,4.00130746314888,2.7657980711062,NA,9,-111.06710640392,240.219480453505,10.8467974736585,5.49211610523045e-05
"1773",0,NA,NA,-0.249405534114663,0.692924033389187,NA,5.46158510957116,-3.08858399846415,-60.1400720363317,NA,3.77684574335359,2.35582583576658,NA,9,-111.067560423613,240.220388492891,10.847705513044,5.4896231423335e-05
"1439",0,NA,3.86914800546295,0.448302922427472,2.59532829262181,-0.522088874748812,NA,NA,-64.4415746696335,-1.87068971189002,NA,2.43551701380647,NA,9,-111.067606118046,240.220479881758,10.8477969019106,5.48937230284626e-05
"805",0,NA,NA,-2.28496837501511,NA,NA,5.79995148846723,NA,NA,-3.9787282034173,3.39042388045899,NA,NA,6,-114.091009431237,240.221753961811,10.8490709819644,5.48587646657859e-05
"2742",0,4.60768769397638,NA,0.19945798261215,NA,-2.27021026905771,4.96202050251279,NA,-59.8686983502348,NA,2.4257461629213,NA,1.36335592801218,9,-111.070109116981,240.225485879628,10.8528028997809,5.47564959094844e-05
"3977",0,NA,NA,NA,3.12072084693361,NA,NA,NA,-67.5402962321619,-4.16053059387707,1.74406662309599,2.6338284577262,0.803505749878115,8,-112.080236003593,240.228653825368,10.8559708455211,5.46698317604534e-05
"3480",0,4.84137815549507,4.21488228944903,1.38317963826945,NA,-1.27846058144815,NA,NA,-56.6080035845453,-1.05155667172413,NA,2.84568525908354,1.96311174129927,10,-110.062568295041,240.229401992926,10.8567190130793,5.4649384487921e-05
"3327",0,NA,5.50259975512069,0.151763569029914,-0.186809445549542,-2.96443199541087,4.65221731396017,2.02151888367388,-66.1156760597422,NA,NA,2.83322012275804,0.859996379658033,11,-109.053537378259,240.232252565906,10.8595695860592,5.45715489406791e-05
"1485",0,NA,NA,-0.261169176052239,2.98370228680077,NA,NA,2.99429850281938,-71.4507674628954,-5.91714545034835,NA,2.8129562543169,NA,8,-112.082046264439,240.23227434706,10.8595913672125,5.45709546282797e-05
"1062",0,4.63399420667045,NA,-1.09046158690366,NA,NA,3.61560336913657,NA,NA,NA,NA,2.96912719387779,NA,6,-114.100576374847,240.240887849032,10.8682048691846,5.4336436483738e-05
"3596",0,5.03530872425493,4.83693667491773,NA,1.51587377788822,NA,NA,NA,NA,NA,2.65855503583647,3.29646549326789,1.84851201859279,8,-112.086586180424,240.241354179029,10.868671199182,5.43237686055044e-05
